user_id,color_productid,hat_productid,pet_productid,skin_productid
1,9,1,4,5
2,11,10,9,7
3,1,7,11,8
4,8,11,1,7
5,7,1,8,9
6,9,8,7,8
7,11,7,9,7
8,1,9,11,9
9,8,11,1,8
10,7,1,8,7
11,9,8,9,9
12,11,7,11,8
13,1,7,1,7
14,8,11,8,9
15,7,1,7,7
16,8,8,9,11
17,7,7,8,1
18,9,9,7,8
19,11,7,9,7
20,1,11,11,9
21,8,1,1,7
22,7,8,1,11
23,11,7,8,1
24,1,9,7,8
25,8,11,9,7
26,7,7,9,9
27,9,11,11,7
28,11,1,1,11
29,1,8,8,1
30,8,7,7,8
31,7,9,9,7
32,1,11,11,9
33,8,1,1,7
34,7,8,8,11
35,12,7,7,1
36,11,7,7,7
37,1,7,9,8
38,8,11,11,7
39,7,1,1,9
40,9,8,1,8
41,11,7,8,7
